word,count
petr4,106
oibr3,65
vale3,52
mglu3,50
viia3,49
trad3,44
flry3,32
petr3,28
mrve3,25
bbas3,25
elet3,25
irbr3,24
movi3,19
rent3,19
b3sa3,19
cvcb3,19
lcam3,19
suzb3,18
qual3,18
csna3,17
rrrp3,17
wege3,16
bbdc4,16
cash3,15
simh3,15
mdne3,14
pcar3,14
ligt3,14
petz3,14
kepl3,13
bidi11,13
slce3,13
prio3,13
arzz3,12
pard3,12
lren3,12
enev3,12
cogn3,12
espa3,11
azul4,11
tasa4,11
usim5,11
elet6,11
mega3,11
smto3,11
cmin3,10
brfs3,10
goll4,10
cyre3,10
hapv3,10
itsa4,10
itub4,10
tupy3,10
rdor3,10
ggbr4,9
dexp3,9
mils3,9
rapt4,9
cbav3,9
vlid3,8
recv3,8
cpfe3,8
posi3,8
ciel3,8
hype3,8
sanb11,8
vbbr3,8
mult3,8
amer3,8
fesa4,8
