word,Diff
flry3,30.0
trad3,27.0
oibr3,17.0
mrve3,15.0
viia3,11.0
pard3,9.0
ligt3,8.0
lcam3,7.0
ggbr4,7.0
ambp3,6.0
mils3,5.0
rdor3,5.0
cyre3,5.0
cvcb3,4.0
seer3,4.0
cmin3,3.0
usim5,3.0
radl3,3.0
orvr3,3.0
tend3,3.0
mypk3,3.0
qbtc11,3.0
fesa4,3.0
ecor3,3.0
kepl3,3.0
syne3,3.0
movi3,3.0
vlid3,2.0
tasa4,2.0
rapt4,2.0
rent3,2.0
amer3,2.0
itsa4,2.0
embr3,2.0
ccro3,2.0
csna3,2.0
seql3,2.0
yduq3,2.0
mrfg3,2.0
smal11,2.0
fiqe3,2.0
mglu3,2.0
trpl4,2.0
slce3,2.0
eter3,1.0
abcb4,1.0
lvtc3,1.0
tims3,1.0
anim3,1.0
sanb11,1.0
enbr3,1.0
sula11,1.0
goau4,1.0
wizs3,1.0
stbp3,1.0
rako11,1.0
enat3,1.0
cury3,1.0
mypq3,1.0
posi3,1.0
taee11,1.0
pec45,1.0
17h15,1.0
petz3,1.0
sbsp3,1.0
enev3,1.0
csan3,1.0
fras3,1.0
igti11,1.0
qual3,1.0
mega3,1.0
b3sa3,1.0
wlmm4,0.0
engi11,0.0
asai3,0.0
grnd3,0.0
viva3,0.0
rail3,0.0
guar3,0.0
13h36,0.0
12h26,0.0
aalr3,0.0
tten3,0.0
xina11,0.0
11h35,0.0
vulc3,0.0
romi3,0.0
odpv3,0.0
vveo3,0.0
leve3,0.0
abev3,0.0
cple3,0.0
modl11,0.0
vivr3,0.0
30776,0.0
amar3,0.0
alld3,0.0
ptnt4,0.0
ceab3,0.0
egie3,0.0
ptbl3,0.0
boas3,0.0
rsul4,0.0
aesb3,0.0
sanb3,0.0
alpa3,0.0
pssa3,0.0
baza3,0.0
plim4,0.0
pmam3,0.0
pomo4,0.0
bmgb4,0.0
cgra4,0.0
arml3,0.0
hbor3,0.0
lavv3,0.0
sbfg3,0.0
show3,0.0
shul4,0.0
sanb4,0.0
prnr3,0.0
sqia3,0.0
wlmm3,0.0
ljqq3,0.0
unip6,0.0
meal3,0.0
aure3,0.0
krsa3,0.0
port3,0.0
pnvl3,0.0
gett11,0.0
ifcm3,0.0
tcsa3,0.0
bmob3,0.0
slge3,0.0
nemo5,0.0
dolh3,0.0
fesa3,0.0
bidi4,0.0
mnde3,0.0
brbi11,0.0
onco3,0.0
brap3,0.0
brsr5,0.0
brsr3,0.0
brpr3,0.0
bova11,0.0
oxco3,0.0
bpar3,0.0
nemo3,0.0
nemo6,0.0
ppei11,0.0
bsli3,0.0
nutr3,0.0
juro11,0.0
klbn3,0.0
espa3,0.0
klbn4,0.0
ivvb11,0.0
arzz3,0.0
itub3,0.0
luxm3,0.0
clsc4,0.0
logg3,0.0
logn3,0.0
suzb3,0.0
dolh4,0.0
eztc3,0.0
dotz3,0.0
ggps3,0.0
bpan4,0.0
jhsf3,0.0
dxco3,0.0
jslg3,0.0
caml3,0.0
card3,0.0
alup11,0.0
plpl3,0.0
grao3,0.0
hbsa3,0.0
dexp4,0.0
desk3,0.0
tris3,0.0
gpiv33,0.0
rani3,0.0
g2di33,0.0
epar3,0.0
mlas3,0.0
gfsa3,0.0
fvs73,0.0
pgmn3,0.0
emae4,0.0
bees4,0.0
igti3,0.0
dasa3,0.0
cxse3,0.0
eqtl3,0.0
bees3,0.0
brap4,-1.0
csed3,-1.0
mlsa3,-1.0
meta11,-1.0
hoz94,-1.0
azev3,-1.0
10h45,-1.0
btra11,-1.0
dif25,-1.0
oibr4,-1.0
smft3,-1.0
aeri3,-1.0
mbly3,-1.0
even3,-1.0
ngrd3,-1.0
ealt4,-1.0
cmig4,-1.0
vbbr3,-1.0
vamo3,-1.0
dmvf3,-1.0
bbse3,-1.0
enju3,-1.0
neoe3,-1.0
jall3,-1.0
azul4,-1.0
cogn3,-1.0
tecn3,-1.0
simh3,-1.0
cple6,-1.0
lren3,-1.0
pfrm3,-1.0
jbss3,-1.0
vitt3,-1.0
bidi11,-1.0
aura33,-1.0
agro3,-1.0
blau3,-1.0
brkm5,-1.0
agxy3,-1.0
alpa4,-1.0
goll4,-1.0
hapv3,-1.0
itub4,-1.0
tots3,-1.0
sapr4,-1.0
tgma3,-1.0
tupy3,-1.0
sgps3,-1.0
rcsl3,-1.0
dexp3,-1.0
brsr6,-1.0
cbav3,-1.0
dirr3,-1.0
cash3,-1.0
cpfe3,-2.0
klbn11,-2.0
recv3,-2.0
crpg5,-2.0
hype3,-2.0
azev4,-2.0
also3,-2.0
beef3,-2.0
ugpa3,-2.0
matd3,-2.0
soja3,-2.0
clsa3,-2.0
raiz4,-2.0
btal11,-2.0
gmat3,-2.0
xpto3,-2.0
csmg3,-2.0
vivt3,-2.0
sapr11,-2.0
bbdc3,-2.0
scar3,-3.0
elet3,-3.0
smto3,-3.0
nubr33,-3.0
dmmo3,-3.0
brfs3,-3.0
lwsa3,-3.0
bpac11,-3.0
crfb3,-3.0
mtre3,-3.0
lpsb3,-3.0
soma3,-3.0
mdia3,-3.0
mult3,-3.0
brml3,-3.0
pcar3,-4.0
mdne3,-4.0
elet6,-4.0
rrrp3,-4.0
irbr3,-4.0
ciel3,-5.0
ntco3,-6.0
bbdc4,-6.0
vale3,-7.0
wege3,-8.0
prio3,-10.0
bbas3,-15.0
petr3,-32.0
petr4,-34.0
